Date,Total Requests,Requests (Excl. 74.7.*)
2026_04_01,176160,176145
2026_04_02,199732,199718
2026_04_03,175153,175139
2026_04_04,128227,128209
2026_04_05,110280,110266
2026_04_06,183122,183090
2026_04_07,159448,159232
2026_04_08,192013,148719
2026_04_09,253646,167882
2026_04_10,241775,175435
2026_04_11,228363,162292
2026_04_12,178564,132463
2026_04_13,192168,174785
2026_04_14,255504,187545
2026_04_15,328236,212422
2026_04_16,334579,215231
2026_04_17,313237,240486
2026_04_18,353527,229454
2026_04_19,314479,181152
