Date,200,206,301,302,304,400,401,403,404,405,408,419,422,499,500,504
2026_04_01,165154,2840,7,3287,4039,0,1,3,117,2,0,3,1,582,124,0
2026_04_02,182259,3904,1,3941,8013,0,0,8,52,0,0,13,6,1281,254,0
2026_04_03,155209,4717,6,3671,9822,0,0,5,43,0,0,12,0,1415,253,0
2026_04_04,113476,5748,2,2226,5167,0,0,1,82,0,0,72,0,954,499,0
2026_04_05,95097,7016,113,2023,4754,0,0,0,160,0,0,6,0,663,448,0
2026_04_06,161552,7171,17,3216,9735,0,0,5,150,0,0,6,0,851,419,0
2026_04_07,128543,14975,4,2826,11582,0,0,4,89,1,1,14,1,1017,391,0
2026_04_08,161693,7074,12,8121,7687,0,0,0,6014,0,0,7,0,964,441,0
2026_04_09,227369,7640,3833,1344,10065,2,0,10,1836,0,0,49,0,886,612,0
2026_04_10,220397,7681,3011,705,8239,0,0,14,451,0,1,48,3,948,277,0
2026_04_11,205507,10403,1886,571,6613,0,0,6,2329,1,0,16,2,893,135,1
2026_04_12,160552,9776,1327,310,5785,0,0,4,112,1,0,49,0,607,41,0
2026_04_13,166296,10615,1932,771,10694,1,0,18,622,0,0,11,5,876,327,0
2026_04_14,234165,9932,1827,897,7350,0,0,3,246,0,0,1,4,1002,76,1
2026_04_15,297672,15402,1771,678,11314,0,0,2,322,0,0,36,2,939,98,0
2026_04_16,301348,14907,5803,1266,9691,0,0,1,209,0,0,2,3,1202,147,0
2026_04_17,262318,31518,865,1006,16177,0,0,7,249,0,0,8,4,844,241,0
2026_04_18,280479,52036,625,555,18838,0,0,3,168,0,1,4,1,754,63,0
2026_04_19,281825,20988,490,458,9450,0,0,2,213,0,0,128,1,840,84,0
